DateTime,AddedIPs,RemovedIPs
1605504053,100,102
1605511455,92,99
1605518890,93,78
1605526232,90,89
1605533288,98,107
1605540513,115,107
1605544116,68,76
1605544831,76,68
1605547962,68,76
1605548703,110,124
1605549728,139,71
1605550351,71,139
1605551080,139,71
1605551793,71,139
1605552543,139,71
1605553239,71,139
1605554057,139,71
1605557553,101,153
1605560887,104,151
1605561608,151,104
1605562330,104,151
1605563084,151,104
1605564173,138,101
1605564989,68,152
1605568330,175,104
1605575770,92,115
1605582974,118,106
1605590407,88,93
1605597625,77,106
1605605054,133,96
1605612290,96,82
1605619693,86,75
1605626885,107,85
1605630506,63,78
1605631209,78,63
1605631930,94,92
1605632661,92,94
1605633372,94,92
1605634087,75,50
1605634810,50,75
1605635526,75,50
1605638410,50,75
1605639144,75,50
1605640571,67,124
1605642727,95,48
1605644890,48,95
1605645607,95,48
1605647054,82,91
1605647802,91,82
1605648487,82,91
1605649208,51,62
1605652086,62,51
1605653528,51,62
1605656440,94,150
1605663610,121,107
1605670085,40,36
1605672253,103,203
1605674412,157,44
1605675127,44,157
1605678011,157,44
1605679459,73,156
1605684728,150,74
1605691925,97,83
1605699127,100,90
1605706328,92,101
1605713532,113,132
1605715690,105,48
1605716409,48,105
1605717853,105,48
1605718567,48,105
1605720043,105,48
1605721456,135,92
1605726488,65,35
1605728649,90,96
1605731531,29,31
1605732250,31,29
1605732971,29,31
1605734432,31,29
1605735851,82,113
1605737289,50,66
1605738007,66,50
1605743766,94,122
1605750515,102,255
1605752676,154,158
1605753392,158,154
1605754830,239,108
1605755583,108,239
1605756281,239,108
1605756996,108,239
1605757717,239,108
1605759880,78,75
1605762754,87,79
1605764195,79,87
1605765648,87,79
1605766351,57,75
1605767790,75,57
1605769232,82,141
1605776444,160,71
1605783681,83,73
1605790843,82,71
1605798051,85,118
1605805954,128,97
1605813156,103,103
1605820373,118,132
1605827551,110,117
1605834799,104,129
1605841952,115,156
1605849150,121,103
1605856354,116,119
1605863809,134,125
1605870996,144,92
1605878308,104,115
1605885630,118,111
1605892361,129,85
1605899577,140,112
1605906755,90,139
1605913972,132,115
1605921393,99,129
1605928831,124,143
1605936034,116,110
1605943251,90,75
1605950678,97,93
1605957878,85,115
1605965078,124,88
1605972517,89,150
1605977592,85,59
1605978289,59,85
1605979717,85,59
1605980433,135,76
1605982592,34,30
1605985478,30,34
1605986917,34,30
1605987636,110,87
1605994839,69,102
1606002752,80,114
1606009954,93,146
1606017169,158,137
1606024354,110,109
1606031588,99,60
1606038754,103,67
1606046678,82,77
1606053873,88,100
1606061315,140,374
1606068050,338,69
1606068997,32,98
1606069716,98,32
1606074037,80,78
1606074752,78,80
1606075479,80,78
1606076214,26,34
1606076911,34,26
1606078350,26,34
1606079079,34,26
1606080511,26,34
1606082678,89,113
1606090590,84,154
1606097792,121,127
1606104995,141,120
1606112194,121,123
1606119394,97,99
1606126597,120,113
1606133799,114,96
1606140999,110,135
1606143151,133,101
1606143889,101,133
1606148194,154,115
1606149666,95,92
1606151091,81,98
1606152518,107,95
1606153955,97,131
1606156118,131,97
1606158283,172,171
1606158992,142,177
1606160431,177,142
1606161183,110,79
1606161876,79,110
1606162598,110,79
1606163312,79,110
1606164731,110,79
1606165456,93,63
1606166170,63,93
1606168332,93,63
1606169767,61,97
1606170489,82,121
1606173367,160,105
1606180566,94,139
1606187872,153,136
1606195838,110,129
1606203206,96,116
1606209883,119,105
1606216597,127,119
1606224033,126,113
1606231234,151,146
1606237721,126,95
1606240600,92,97
1606244210,133,107
1606244921,107,133
1606245634,133,107
1606246358,76,68
1606247079,68,76
1606247811,76,68
1606252119,88,75
1606252835,75,88
1606253579,109,159
1606254279,114,51
1606255963,51,114
1606260283,116,132
1606267490,121,93
1606274701,101,126
1606282591,101,124
1606289791,106,125
1606296996,132,222
1606304191,250,75
1606311394,98,112
1606319310,101,139
1606326037,172,101
1606333259,102,78
1606336110,51,115
1606339007,151,92
1606346191,96,133
1606353882,116,101
1606361078,97,119
1606368278,96,124
1606375209,98,212
1606382410,235,85
1606389610,113,94
1606396807,88,94
1606404008,102,106
1606411455,123,96
1606418656,114,73
1606420088,40,115
1606420851,115,40
1606422253,37,54
1606422968,54,37
1606426085,88,161
1606426815,81,54
1606428970,54,81
1606430411,81,54
1606431130,54,81
1606433286,137,116
1606440485,88,107
1606447685,128,97
1606454885,85,99
1606462085,84,139
1606469289,151,128
1606477206,140,75
1606484416,95,82
1606491651,83,125
1606497152,97,48
1606497875,48,97
1606498591,97,48
1606502910,89,90
1606510114,89,126
1606516117,64,64
1606516831,99,72
1606518275,72,99
1606518992,111,120
1606526214,102,159
1606533390,161,146
1606540609,136,161
1606547790,136,78
1606555008,91,91
1606562168,115,86
1606569371,101,74
1606576570,87,117
1606583802,129,97
1606591935,121,102
1606598408,101,85
1606605870,91,125
1606613286,96,102
1606620487,84,112
1606627688,105,88
1606635132,80,71
1606641609,92,68
1606648807,89,74
1606656008,82,83
1606663930,102,71
1606669690,56,101
1606673655,120,119
1606676654,113,88
1606679172,111,69
1606679795,69,111
1606681232,133,61
1606682053,38,68
1606683419,68,38
1606684113,38,68
1606684832,68,38
1606686271,43,240
1606692753,214,128
1606700189,135,159
1606707628,166,124
1606714807,104,123
1606722009,90,88
1606729211,91,86
1606736407,95,93
1606743847,93,104
1606751051,112,99
1606758247,125,103
1606765447,93,434
1606769048,407,65
1606773367,80,74
1606774092,74,80
1606774807,80,74
1606779854,87,132
1606787287,89,153
1606794485,144,129
1606801686,128,152
1606808890,133,97
1606816087,128,97
1606823287,107,119
1606830008,154,87
1606837487,88,118
1606842745,70,97
1606846574,137,151
1606853768,147,194
1606860995,194,135
1606862415,99,117
1606864572,139,106
1606871770,95,135
1606874655,66,141
1606875399,191,82
1606876335,82,191
1606877770,173,121
1606878490,121,173
1606879928,217,148
1606882812,71,58
1606884251,58,71
1606887909,125,104
1606890969,69,59
1606898169,111,78
1606905368,92,106
1606912571,107,82
1606920488,110,98
1606927687,106,103
1606934433,96,84
1606941664,89,165
1606949075,154,106
1606956274,84,107
1606963719,105,123
1606970912,107,188
1606978131,154,109
1606985314,109,197
1606992752,224,78
1607000236,89,72
1607006921,95,122
1607014351,117,80
1607021792,87,111
1607029245,124,82
1607036441,83,107
1607043640,90,105
1607050850,95,118
1607058045,110,95
1607065261,87,113
1607073155,130,69
1607080353,71,178
1607087593,177,78
1607094991,108,196
1607102436,208,128
1607109638,136,80
1607116834,87,99
1607124040,98,147
1607131236,126,105
1607138438,99,112
1607145640,85,173
1607153555,152,87
1607160754,88,60
1607167952,81,86
1607175154,88,145
1607183123,162,81
1607190517,98,160
1607196996,155,166
1607204193,172,100
1607212132,105,146
1607219314,134,99
1607226533,92,129
1607233715,98,87
1607240929,70,66
1607248117,71,99
1607255551,126,90
1607262756,89,131
1607269968,149,136
1607277878,145,96
1607285083,91,67
1607292278,76,95
1607299076,86,200
1607306440,173,101
1607313645,95,350
1607320841,335,92
1607328044,96,141
1607335952,157,57
1607343153,83,89
1607350352,89,135
1607357552,148,108
1607364997,102,186
1607372196,192,100
1607379391,102,114
1607386835,104,123
1607394033,105,102
1607401231,85,146
1607408691,139,96
1607415875,84,75
1607423095,93,141
1607430276,141,92
1607437958,117,78
1607445151,91,141
1607452356,149,84
1607459570,81,96
1607467470,78,329
1607474682,212,253
1607481154,289,141
1607487634,170,179
1607494146,142,88
1607501324,115,159
1607508555,173,105
1607515719,79,93
1607516434,63,88
1607517184,143,72
1607525073,97,152
1607531824,145,101
1607539235,116,129
1607546678,115,94
1607553392,95,95
1607560593,88,123
1607567818,46,34
1607569243,100,209
1607576675,168,83
1607580990,58,135
1607588651,154,90
1607596092,102,160
1607603289,168,105
1607610491,124,132
1607618012,127,288
1607625150,274,110
1607631873,115,255
1607639131,278,121
1607646274,96,91
1607653714,89,175
1607660923,166,117
1607668129,90,65
1607676029,91,61
1607683229,84,76
1607690430,66,144
1607697634,161,134
1607704829,122,249
1607712029,267,86
1607719230,77,88
1607726432,74,107
1607733629,91,135
1607741527,116,137
1607748989,129,109
1607755689,92,134
1607762890,136,97
1607770086,126,67
1607777291,96,67
1607785213,88,89
1607792416,94,105
1607799682,122,113
1607806330,118,121
1607813559,98,92
1607821453,74,116
1607828656,115,119
1607836086,99,111
1607843287,87,98
1607850492,134,65
1607857690,92,74
1607865655,82,72
1607872805,83,122
1607880005,134,151
1607887207,179,133
1607894648,154,134
1607902091,115,119
1607909293,81,139
1607916779,134,109
1607923477,91,125
1607931365,112,62
1607938090,78,102
1607946010,106,119
1607953237,125,88
1607960676,108,87
1607967907,92,52
1607975078,94,105
1607982514,87,187
1607989749,171,102
1607996430,80,104
1608003631,134,117
1608011072,97,144
1608018277,91,353
1608025499,363,103
1608033643,118,136
1608040108,165,122
1608047316,127,90
1608054756,96,126
1608062187,113,63
1608069660,74,180
1608077079,166,112
1608083789,110,96
1608091030,103,123
1608098912,85,102
1608106117,114,93
1608113556,88,76
