DateTime,Entries,UniqueIPs
1607643845,6246,6246
1607645768,7750,7750
1607647685,7717,7717
1607649603,7735,7735
1607651545,7725,7725
1607653450,7738,7738
1607655365,7753,7753
1607657308,7732,7732
1607659207,7733,7733
1607661372,7728,7728
1607663288,7726,7726
1607665229,7723,7723
1607667128,7704,7704
1607669046,7648,7648
1607670989,7622,7622
1607672895,7627,7627
1607674850,7631,7631
1607676767,7670,7670
1607678666,7647,7647
1607680601,7657,7657
1607682513,7658,7658
1607684408,3976,3976
1607686329,4007,4007
1607688273,5647,5647
1607690167,5685,5685
1607692084,5697,5697
1607694029,5690,5690
1607695922,5701,5701
1607697848,5673,5673
1607699785,5720,5720
1607701687,5760,5760
1607703605,5772,5772
1607705548,5747,5747
1607707443,5754,5754
1607709391,5790,5790
1607711325,5828,5828
1607713231,5877,5877
1607715142,5895,5895
1607717124,5953,5953
1607718979,5977,5977
1607720905,6018,6018
1607722864,6066,6066
1607724741,6091,6091
1607726660,6133,6133
1607728612,6193,6193
1607730504,6210,6210
1607732453,7594,7594
1607734472,7614,7614
1607736512,7623,7623
1607738525,7613,7613
1607740367,7596,7596
1607742267,7612,7612
1607744205,7668,7668
1607746119,7699,7699
1607748034,7707,7707
1607749926,7715,7715
1607751846,7739,7739
1607753786,7764,7764
1607755685,7773,7773
1607757604,7769,7769
1607759647,7787,7787
1607761710,7806,7806
1607763616,7813,7813
1607765524,7837,7837
1607767470,7837,7837
1607769361,7867,7867
1607771283,4357,4357
1607773228,4344,4344
1607775122,5866,5866
1607777044,5914,5914
1607778984,5910,5910
1607780881,5922,5922
1607782802,5932,5932
1607784745,5916,5916
1607786644,5951,5951
1607788562,5965,5965
1607790511,5976,5976
1607792410,5987,5987
1607794326,6032,6032
1607796270,6076,6076
1607798160,6135,6135
1607800085,6171,6171
1607802016,6262,6262
1607803941,6308,6308
1607805880,6338,6338
1607807790,6416,6416
1607809699,6436,6436
1607811632,6463,6463
1607813553,6508,6508
1607815501,6514,6514
1607817405,6536,6536
1607819298,7819,7819
1607821237,7805,7805
1607823155,7823,7823
1607825050,7847,7847
1607826962,8035,8035
1607829153,8067,8067
1607831047,8086,8086
1607832964,8101,8101
1607834908,8124,8124
1607836804,8114,8114
1607838723,8140,8140
1607840669,8142,8142
1607842563,8142,8142
1607844486,8154,8154
1607846444,8148,8148
1607848327,8151,8151
1607850250,8128,8128
1607852191,8133,8133
1607854086,8124,8124
1607856008,8131,8131
1607857949,4150,4150
1607859845,4156,4156
1607861775,5997,5997
1607863709,6042,6042
1607865650,6085,6085
1607867558,6091,6091
1607869500,6057,6057
1607871379,6000,6000
1607873313,5966,5966
1607875299,6114,6114
1607877167,6175,6175
1607879067,6231,6231
1607880996,6226,6226
1607882917,6245,6245
1607884805,6262,6262
1607886726,6435,6435
1607888651,6462,6462
1607890587,6443,6443
1607892483,6459,6459
1607894404,6454,6454
1607896329,6540,6540
1607898242,6624,6624
1607900187,6681,6681
1607902086,6699,6699
1607904019,8277,8277
1607905951,8310,8310
1607907873,8395,8395
1607909788,8443,8443
1607911686,8479,8479
1607913604,8484,8484
1607915547,8515,8515
1607917447,8520,8520
1607919387,8527,8527
1607921283,8524,8524
1607923203,8545,8545
1607925124,8585,8585
1607927045,8599,8599
1607928988,8624,8624
1607930887,8664,8664
1607932821,8668,8668
1607934750,8662,8662
1607936648,8678,8678
1607938564,8675,8675
1607940512,8675,8675
1607942412,8676,8676
1607944324,4936,4936
1607946272,4965,4965
1607948172,6540,6540
1607950088,6563,6563
